"CallYr","CallWeek","FirstDay.x","ncall","Dominantxaxon","Dissolved Oxygen","Specific Conductance","Temperature","pH","Microcystin LR","SampleMonth","PrecedingWkCall","SampleNumber","pHDeviation","PrecedingWkCallLog"
2018,25,2018-06-18,2,1,3.7,401,30.2,7.4,0.25,6,2,1,0.4,1.09861228866811
2018,27,2018-07-02,1,0.8,2.94,471.4,29.7,7.512,15.886,7,0,2,0.512,0
2018,28,2018-07-09,10,1,3.723,440.29,29.6,7.42,14.675,7,1,3,0.42,0.693147180559945
2018,29,2018-07-16,10,1,3.3175,379.5,31.05,7.42,3.7225,7,10,4,0.42,2.39789527279837
2018,30,2018-07-23,17,1,4.86333333333333,375,30.8666666666667,7.56666666666667,9.9,7,10,5,0.566666666666666,2.39789527279837
2018,31,2018-07-30,26,0.5,4.46,378.975,29.25,7.4775,9.555,8,17,6,0.4775,2.89037175789616
2018,32,2018-08-06,41,1,4.615,412.25,30.05,7.575,6.875,8,26,7,0.575,3.29583686600433
2018,33,2018-08-13,12,1,4.5525,442,30.475,7.6225,8.625,8,41,8,0.6225,3.73766961828337
2018,34,2018-08-20,10,0.75,4.2425,414,29.05,7.5175,6.825,8,12,9,0.5175,2.56494935746154
2018,35,2018-08-27,8,0.75,4.52,429.925,29.475,7.53,0.44,8,10,10,0.53,2.39789527279837
2018,37,2018-09-10,7,0.5,4.905,412.55,29.2,7.51,0.42,9,21,11,0.51,3.09104245335832
2018,38,2018-09-17,7,0.5,5.3,436,30.6,7.8,0.25,9,7,12,0.8,2.07944154167984
2018,40,2018-10-01,3,1,4.2,347,29.6,7.5,0.25,10,3,13,0.5,1.38629436111989
2018,42,2018-10-15,0,1,4.9,376,28.5,7.8,0.38,10,3,14,0.8,1.38629436111989
2018,43,2018-10-22,1,1,4.9,393,27.8,8,0.36,10,0,15,1,0
2018,46,2018-11-12,1,1,5.225,1276.75,26.325,7.5,0.26,11,0,16,0.5,0
2018,49,2018-12-03,0,1,6.9,445,22.6,7.6,3.7,12,2,17,0.6,1.09861228866811
2018,50,2018-12-10,1,1,8.1,1323.5,20.4,7.9,1.75,12,0,18,0.9,0
2018,51,2018-12-17,0,1,8.7,1382.33333333333,19.9666666666667,7.96666666666667,2.45666666666667,12,1,19,0.966666666666667,0.693147180559945
2019,2,2019-01-07,0,1,7.8,1497.5,21.1,7.8,3.1,1,1,20,0.8,0.693147180559945
2019,3,2019-01-14,1,1,7.3,2480.5,20.05,7.75,3.1,1,0,21,0.75,0
2019,4,2019-01-21,1,1,8.25,2357,18.3,7.9,0.795,1,1,22,0.9,0.693147180559945
2019,6,2019-02-04,1,1,10,627.5,19.8,7.9,1.115,2,0,23,0.9,0
2019,7,2019-02-11,1,0,7.7,594,21.4,7.5,0.25,2,1,24,0.5,0.693147180559945
2019,8,2019-02-18,1,1,8.1,670.5,23,7.8,0.325,2,1,25,0.800000000000001,0.693147180559945
2019,10,2019-03-04,0,0.5,6.7,501.5,25.15,8,0.54,3,0,26,1,0
2019,11,2019-03-11,0,5.5,7.55,526.5,24.4,8,0.91,3,0,27,1,0
2019,12,2019-03-18,0,1,6.45,497,22.6,8.05,7.125,3,0,28,1.05,0
2019,13,2019-03-25,0,0.5,9.1,481.5,23.75,8.3,0.385,3,0,29,1.3,0
2019,14,2019-04-01,1,0.5,9.6,490,23.95,8.4,0.51,4,0,30,1.4,0
2019,15,2019-04-08,2,0,9.4,478,25.6,8.5,0.25,4,1,31,1.5,0.693147180559945
2019,16,2019-04-15,1,1,6.63333333333333,498.333333333333,26.1,8.06666666666667,1.98,4,2,32,1.06666666666667,1.09861228866811
2019,17,2019-04-22,0,1,8.4,496,26.2,8.4,0.615,4,1,33,1.4,0.693147180559945
2019,18,2019-04-29,1,1,8.5,506,26.9,8.3,0.39,5,0,34,1.3,0
2019,20,2019-05-13,1,1,8.11333333333333,3732.33333333333,28.8,8.29666666666667,0.383333333333333,5,2,35,1.29666666666667,1.09861228866811
2019,21,2019-05-20,1,0,8.78,506,28.4,8.06,0.25,5,1,36,1.06,0.693147180559945
2019,22,2019-05-27,0,0,8.77,509,30.1,8.24,0.25,5,1,37,1.24,0.693147180559945
2019,23,2019-06-03,2,0,6.43,540,29.7,7.91,0.25,6,0,38,0.91,0
2019,24,2019-06-10,0,0,9.62,539,29.9,8.28,0.25,6,2,39,1.28,1.09861228866811
2019,26,2019-06-24,1,0.333333333333333,7.76,583.966666666667,31.2,7.91666666666667,0.25,6,1,40,0.916666666666667,0.693147180559945
2019,27,2019-07-01,2,0,4.39,533,30.4,7.58,0.25,7,1,41,0.58,0.693147180559945
2019,28,2019-07-08,0,0,4.72,530,30.1,7.58,0.25,7,2,42,0.58,1.09861228866811
2019,29,2019-07-15,2,0,5.87,553,29.4,7.54,0.25,7,0,43,0.54,0
2019,30,2019-07-22,3,0,6.18,532,29.6,7.63,0.25,7,2,44,0.63,1.09861228866811
2019,31,2019-07-29,1,0,6.86,518,31.4,7.82,0.25,8,3,45,0.82,1.38629436111989
2019,32,2019-08-05,4,0,4.04,486.7,28.8,7.44,0.25,8,1,46,0.44,0.693147180559945
2019,33,2019-08-12,3,0,3.39,450,28.2,7.37,0.25,8,4,47,0.37,1.6094379124341
2019,35,2019-08-26,2,0,3.43,432,30.6,7.52,0.25,8,4,48,0.52,1.6094379124341
2019,36,2019-09-02,2,0,3.37,512,29.4,7.34,0.25,9,2,49,0.34,1.09861228866811
2019,37,2019-09-09,1,0,4.88,514,30.8,7.65,0.25,9,2,50,0.65,1.09861228866811
2019,38,2019-09-16,0,0,3.9,530,29.3,7.5,0.25,9,1,51,0.5,0.693147180559945
2019,39,2019-09-23,1,0,4.86,546,28.6,7.59,0.25,9,0,52,0.59,0
2019,40,2019-09-30,1,0,5.59,568,29.4,7.8,0.25,10,1,53,0.8,0.693147180559945
2019,43,2019-10-21,0,0,5.97,709,28.5,7.8,0.25,10,1,54,0.8,0.693147180559945
2019,51,2019-12-16,0,0,8,550,22.1,7.96,0.25,12,0,55,0.96,0
